Q,A,label
제습기가 필요해,저도 없어요.,0
제자리걸음만 하는 듯,발전이 없다고 너무 두려워하지 마세요.,0
제주도 가고 싶다.,저도 데려가 주세요.,0
제주도 가고 싶어,당장 비행기표 예약하세요.,0
제주도 가서 살까?,아름다운 곳이죠.,0
제주도 놀러 가고 싶어요.,저도 데려가 주세요.,0
제주도 바닷가 가고 싶어,당장 비행기표 예약하세요.,0
제주도로 떠나야겠다.,여행 좋죠!,0
조교하면 공부하기 힘들겠지.,노력하는 모습이 좋아 보여요.,0
조교하면서 공부할까?,노력하는 모습이 좋아 보여요.,0
조금만 기다려 줬으면 좋겠다,상대방에게 너무 무거운 짐을 주지 마세요.,0
조급하고 초초하다,마음이 조급해지면 자꾸만 악수를 둘 가능성이 높아집니다.,0
조명빨 좋다.,멋져 보여요!,0
조명빨인가,멋져 보여요!,0
조모임 왜 이케 많아,요즘은 팀워크가 더 중요해졌어요.,0
조별 과제 발표 하기 싫어,역할 분담을 잘 해보세요.,0
조별 발표 왜 이렇게 많이 시키지,요즘은 팀워크가 더 중요해졌어요.,0
조별 발표 하기 싫어,역할 분담을 잘 해보세요.,0
조심조심,안전이 최고죠!,0
조심할 게 많아,무서운 세상이죠.,0
조용히 있고 싶어,저 나가면 될까요?,0
조용히 지나가면 될까?,어떤 일이냐에 따라 다를 거 같아요.,0
조용히 지나갈까?,어떤 일이냐에 따라 다를 거 같아요.,0
조카 선물 고르기 어렵네,살짝 물어보세요.,0
조카 선물 뭐 사주지,살짝 물어보세요.,0
조카 오는 거 싫어,방문 열어주지 마세요.,0
조카 입학 선물,가방은 어때요.,0
조카 입학 선물 뭐 사냐,가방은 어때요.,0
조카들 너무 귀찮게 해,방문 열어주지 마세요.,0
졸려,오늘 일찍 주무세요.,0
졸린데 못 자겠어.,고민이 많은가 봅니다.,0
졸린데 잠이 안 와,고민이 많은가 봅니다.,0
졸업 사진 망했다,망해도 자연스러우면 좋겠네요.,0
졸업 사진 잘 못 찍었어,망해도 자연스러우면 좋겠네요.,0
졸업 선물 뭐가 좋을까,살짝 물어보세요.,0
졸업 선물 추천,살짝 물어보세요.,0
졸업식 가야겠지,축하드려요,0
졸업식에 가도 되나,졸업식에 가서 축하해주세요.,0
졸업식에 가도 될까,졸업식에 가서 축하해주세요.,0
졸업이다,축하드려요,0
좀 더 가까워지고 싶어,마음을 더 열어보세요.,0
좀 맞자,저는 오래 살고 싶어요.,0
좀 쉬면서 애기 키워야 할 듯,좋은 곳에서 일하시나봐요.,0
종이에 손 베였어,소독하고 약 바르세요.,0
좋긴 한데 귀찮아,귀차니즘을 극복 하셔야해요.,0
좋아 죽을거 같아,좋아하시니까 좋네요.,0
좋아하는 게 뭔지 모르겠어,다양하게 경험해보세요.,0
좋아하는 애랑 같은 반 됐으면 좋겠다,당신의 운을 믿어보세요.,0
좋은 관계 어떻게 유지하지,서로에게 좋은 영향을 주는 관계입니다.,0
좋은 관계란 뭘까,서로에게 좋은 영향을 주는 관계입니다.,0
좋은 대학 나온 거 부러워,다른 능력을 채워보세요.,0
좋은 대학 나온 사람 부러워,다른 능력을 채워보세요.,0
좋은 사람들은 다 어디 갔을까,가려 가며 만나면 돼요.,0
좋은 아침,좋은 아침이에요.,0
좋은 점이 없어,사소한 거라도 있을 거예요.,0
좌절 중이야,이제 일어날 때예요.,0
주고 받았던 편지도 버려야겠지?,버릴 건 버려야지요.,0
주눅들어서 말을 못하겠어,별 거 아니라고 생각해보세요.,0
주량 센데 솔직하게 이야기해도 될까?,주량은 낮춰 이야기하는 게 좋을 거예요.,0
주량 쎈 게 좋은 건가?,세다고 너무 많이 드시면 안돼요.,0
주름도 멋져,멋진 나이테죠.,0
주름도 멋진 사람,멋진 나이테죠.,0
주름살 생겼어,아름다운 나이테예요.,0
주름살이 조금씩 생긴다.,있어도 예뻐요.,0
주말에 놀꺼 추천,저랑 놀아요.,0
주말에 늦잠자고 브런치 먹으면서 수다 떨고 싶어,완벽한 주말이네요.,0
주말에 데이트 해야지!,즐거운 주말 보내실 것 같네요.,0
주말에 뭐 하고 놀까?,저랑 놀아요.,0
주말에 스키장 간다!,설레겠어요.,0
주말에도 헬스하러 많이 오네.,같이 운동하게 좋겠네요.,0
주말인데 헬스장에 사람이 많네,같이 운동하게 좋겠네요.,0
주식 대박 남!,주식으로 망하는건 한순간이예요.,0
주식 망했어,주식으로 돈버는사람은 몇명 없대요.,0
주식으로 돈 많이 벌었어,주식으로 망하는건 한순간이예요.,0
주식이 떨어졌어,주식으로 돈버는사람은 몇명 없대요.,0
주워담지 못할 말을 했어,두고두고 후회하겠네요.,0
주제 넘은 짓 한거 같아,주제를 모를 때가 행복할 때예요.,0
주차장에 자리가 없어,한바퀴만 더 돌면 짠하고 나타날 거예요,0
주차장이 꽉 찼어,한바퀴만 더 돌면 짠하고 나타날 거예요,0
주차하다 긁었어,속 쓰리겠어요.,0
주차할데 없어서 짜증나,한바퀴만 더 돌면 짠하고 나타날 거예요,0
주택 청약 가입,내 집 마련의 한 걸음을 내딛으셨네요.,0
주택 청약 시작!,내 집 마련의 한 걸음을 내딛으셨네요.,0
주택청약 들었어,내 집에 한 걸음 더 다가갔네요.,0
주행 연습 끝났어,안전 운전 하세요.,0
죽고 싶다,당신을 소중하게 생각하세요.,0
죽어도 아무도 모르겠지,나쁜 생각 하지 마세요.,0
죽을 때까지 함께하고 싶다,프로포즈해보세요.,0
죽을 때까지 함께하고 싶은 사람이 생겼어,프로포즈해보세요.,0
죽을래?,저는 오래 살고 싶어요.,0
줄 길거 같아,커피 한잔 마시며 기다려보세요.,0
중2 아들 때매 고민이야,사춘기인가봅니다.,0
중2 히스테리 알아?,힘들 때네요.,0
중2병,힘들 때네요.,0
중2병 이라더니 진짜 속썩일 줄이야,사춘기인가봅니다.,0
중2병인거 같아,힘들 때네요.,0
중간이 없어,그 조차 매력이겠죠.,0
중고 거래 했어,알뜰한 소비 하셨네요.,0
중고로 사길 잘 한거 같아,좋은 선택 하셨네요.,0
중고로 샀어,알뜰한 소비 하셨네요.,0
중고로 잘 산 거 같애,좋은 선택 하셨네요.,0
중국 발령 날 수도 있어,새로운 곳에서 적응하고 더 잘할 수 있을 거예요.,0
중국 출장 가야할 수도 있어,새로운 곳에서 적응하고 더 잘할 수 있을 거예요.,0
중국어 공부할까?,나중에 도움이 될 거예요.,0
중국어 배울려면 학원 다녀야 할까,혼자해도 좋고 학원을 다녀도 좋아요.,0
중국어 있는게 좋겠지?,중문 있으면 좋아요.,0
중국어 학원 다녀야 하나,혼자해도 좋고 학원을 다녀도 좋아요.,0
중국어 혼자 공부 가능한가?,혼자해도 좋고 학원을 다녀도 좋아요.,0
중국으로 진출해볼까?,좀 더 알아보고 하세요.,0
중문 있는게 낫겠지?,중문 있으면 좋아요.,0
중소기업이라도 취직할까?,일하는 것 자체가 중요하죠.,0
중소기업인데 그냥 취직할까?,일하는 것 자체가 중요하죠.,0
중요한 발표 기다리고 있어,행운을 빌어요.,0
즐기며 살고 싶어,현재를 즐기면서 행복하게 사세요.,0
증거도 없으면서 나만 의심해,평소의 행실을 되돌아보세요.,0
지가 피해자래,분명한 잘못이네요.,0
지갑 까먹었다.,다른 반에서 빌려보세요.,0
지갑 바꿀까,신상으로 바꾸세요.,0
지갑 안 가져왔다,다른 반에서 빌려보세요.,0
지갑 없어졌어,잘 찾아보세요.,0
지갑 잃어버림,잘 찾아보세요.,0
지금 나한테 장난친거,아니길 바라요.,0
지금 내가 해야 할 것,멍 때리기,0
지금 노력한다고 될까,중요한 건 노력하는 과정이에요.,0
지금 자면 밤에 못 자겠지?,낮잠은 20분만 자세요.,0
지금 자면 밤에 못 자는데 졸려,낮잠은 20분만 자세요.,0
지금 행복해,현재를 즐기세요!,0
지금까지 일만 하고 산 거 같애,자신의 인생을 사세요.,0
지금이라도 중국어 공부할까?,나중에 도움이 될 거예요.,0
지기 너무 싫어,질 때도 있고 이길 때도 있는 거예요.,0
지는 거 싫어,지는 걸로 스트레스 받지 마세요.,0
지는 거 좋은 사람은 없겠지,지는 걸로 스트레스 받지 마세요.,0
지는 게 진짜 싫어,질 때도 있고 이길 때도 있는 거예요.,0
지방 와서 친구가 없어,친구를 사귀어 보세요.,0
지진 걱정돼,한국도 위험해요. 지진시 대피방법을 알아두세요.,0
지진 안나겠지,한국도 안전하지 않아요. 지진시 대피방법을 알아두세요.,0
지진나면 어떡하지?,한국도 위험해요. 지진시 대피방법을 알아두세요.,0
지진나면 어떡해?,한국도 안전하지 않아요. 지진시 대피방법을 알아두세요.,0
지하철에 발 디딜 틈도 없다.,맨 앞이나 맨 뒤에 타세요.,0
지하철에 사람이 너무 많아,맨 앞이나 맨 뒤에 타세요.,0
지하철에 자리가 없어,그런 날이 있죠.,0
지하철에서 겁나 멋진 사람 발견! 말 시켜 볼까,용기가 필요한 순간이네요.,0
지하철에서 괜찮은 사람 봤는데 말 시켜 볼까,용기가 필요한 순간이네요.,0
직구로 사면 싸겠지,좋은 거 사나봐요.,0
직구로 사야지,좋은 거 사나봐요.,0
직장 가기 싫어,직장 스트레스가 심한가봐요.,0
직장생활 시작했어,처음에는 많이 어렵겠지만 차차 적응해 나갈거예요.,0
직장에서 나만 일 시켜,직장 스트레스 심하겠네요.,0
직장에서 너무 괴롭혀,직장 스트레스 심하겠네요.,0
직장에서 따돌림 당함,직장 스트레스 심하겠네요.,0
직장에서 상사가 괴롭혀.,이유가 있지 않을까요.,0
직장에서 왕따 당하고 있어,직장 스트레스 심하겠네요.,0
직장에서 자꾸 혼나는데 그만둬야할까?,고칠 점은 고치면서 조금만 더 버텨보세요.,0
직장에서 화풀이 대상 같은데 그만둬야 할까?,고칠 점은 고치면서 조금만 더 버텨보세요.,0
직장운 없는 거 같애,이직을 생각해보세요.,0
직장이 괴롭다,직장 스트레스 심하겠네요.,0
직장이 맘에 든적이 없는 거 같애,이직을 생각해보세요.,0
직장인도 방학 필요해,잠시 쉬어가도 괜찮아요.,0
진급 누락됐어,다음에는 꼭 진급할 거예요.,0
진급에서 나만 누락됐어,기회가 다시 올 거예요.,0
진급에서 나만 빠졌어,기회가 다시 올 거예요.,0
진급하고 싶어,열심히 하면 할 수 있을 거예요.,0
진급할 때가 된 거 같은데,열심히 하면 할 수 있을 거예요.,0
진급해야 할텐데,열심히 하면 할 수 있을 거예요.,0
진담을 농담처럼 하는 사람,똑같이 해주세요.,0
진정으로 즐거운 게 뭘까?,할 일이 많은데 안하는 것이요.,0
진짜 내가 되고 싶어,다른 사람들이 원하는 내가 되는 건 어려워요.,0
진짜 너무하네,잘 해결되길 바랄게요.,0
진짜 되도 않는 소리하네,세상에 별별 사람들이 다 있죠.,0
진짜 말도 안돼,그런 일이 많이 생기죠.,0
진짜 무력하다,잘할 수 있는 게 다른 거예요.,0
진짜 별 사람이 다 있어,정말 특이한 사람 많죠.,0
진짜 열심히 해야지,좋은 태도네요.,0
진짜 완전체가 있어,상대를 용서하면서 분출할 수 있는 탈출구를 찾아보세요.,0
진짜 이제 한계야,당신의 잠재력을 믿어보세요.,0
진짜 친구 몇 명 있어야 돼?,한 명만 있어도 충분해요.,0
진짜 친구 사귀고 싶어,진심으로 다가가면 친구가 될 수 있을 거예요.,0
진짜 친구가 없는 거 같애,친구가 들으면 서운해 할 수도 있겠어요.,0
진짜 피곤한 날,푹 쉬세요.,0
진한 커피 한잔,마시면 좋죠.,0
짐 싸야돼 귀찮아,버릴 건 버리세요.,0
집 가는 중,조심히 오세요.,0
집 나가서 혼자 살고 싶다.,혼자 사는 것도 나쁘지 않아요.,0
집 다와서 사귀던 남자애 만났어,남이니 신경쓰지 마세요.,0
집 망한 거 같은데,집에 도움이 되려고 노력해보세요.,0
집 밖에 나가기 싫어,오늘은 그냥 뒹굴뒹글 같이 놀아요.,0
집 사고 싶어,같이 살고 싶은 사람이 있나봐요.,0
집 샀어,내 집 마련 축하드려요.,0
집 아예 샀어,내 집 마련 축하드려요.,0
집 예쁘게 꾸미고 싶어.,나만의 공간으로 꾸며보세요.,0
집 팔거야,좋은 결정이길 바랍니다.,0
집 팔려고,좋은 결정이길 바랍니다.,0
집나가도 갈 데가 없어,선생님이나 기관에 연락해보세요.,0
집나갈까,무모한 결정을 내리지 마세요.,0
집들이 귀찮아,안해도 괜찮을 거예요,0
집들이 누구 초대해?,초대하고 싶은 사람들이요.,0
집들이 선물 뭐 사갈까,필요한게 어떤건지 물어보세요.,0
집들이 선물 뭐가 좋아,필요한게 어떤건지 물어보세요.,0
집들이 어떻게 해,쉽게 준비하는방법이 있는지 검색해서 준비해 보세요.,0
집들이 하기 싫어,쉽게 준비하는방법이 있는지 검색해서 준비해 보세요.,0
집들이 하라네,하고 안하고는 집주인 마음이죠.,0
집들이 해야겠지?,하고 안하고는 집주인 마음이죠.,0
집들이고 뭐고 다 귀찮다,안해도 괜찮을 거예요,0
집들이는 보통 누구를 초대하나?,초대하고 싶은 사람들이요.,0
집안일 너무 많다.,매일 조금씩 해보세요.,0
집안일 쌓여 있다,하나씩 하세요.,0
집안일 어려워,조금씩 잘 하게 될거예요,0
집안일 해도 해도 안 끝나,조금씩 조금씩 해보세요.,0
집안일 해도해도 끝이 없어,매일 조금씩 해보세요.,0
집안일을 못하겠어,조금씩 잘 하게 될거예요,0
집안일이 너무 많아,하나씩 하세요.,0
집안일이 안 끝나,조금씩 조금씩 해보세요.,0
집앞에서 전남친 만남,남이니 신경쓰지 마세요.,0
집에 간다,조심히 오세요.,0
집에 갈 때 피맥 먹고 싶다.,보다보면 괜찮아요.,0
집에 감기약 없어,병원가세요.,0
집에 먹을게 없어,새로운 관계를 만들면 돼요.,0
집에 먼지가 너무 많아,대청소를 해보세요!,0
집에 빨랑 가고 싶다,집이 최고죠.,0
집에 일찍 가고 싶다,집이 최고죠.,0
집에 친구 오라고 하려고,모처럼만에 즐거운 시간 보내겠네요.,0
집에 친구 초대하려고,모처럼만에 즐거운 시간 보내겠네요.,0
집을 왜 물어보지,데려다주려나봐요.,0
집이 너무 지저분해,청소기를 돌려보세요.,0
집이 더러워,청소기를 돌려보세요.,0
집이 어디냐고 왜 물어보지,데려다주려나봐요.,0
집중이 안돼,잠시 쉬어도 괜찮습니다.,0
집중이 왜 이렇게 안 돼지,잠시 쉬어도 괜찮습니다.,0
집착같은데 걔는 뭐라고 생각할까,상대가 그렇게 느낀다면요.,0
집착인 것 같기는 해,애정의 증거라 생각할게요.,0
집착인가,상대가 그렇게 느낀다면요.,0
집착인가봐,애정의 증거라 생각할게요.,0
징글징글한 층간소음,이웃으로부터 고통받고 있나봐요.,0
짜여진 시간표대로 움직이고 있어,그게 마음이 편할 때도 있어요.,0
짜장면 시켰어,짜장면은 혼자 먹어도 맛있어요,0
짜증나,짜증날 때는 기분 푸는 음악 어때요?,0
짜증나게 해서 일단 나왔어,마음이 복잡하겠네요.,0
짜증나서 집 나왔어,마음이 복잡하겠네요.,0
짜증난다,짜증날 땐 짜장면,0
짜증만땅,짜증날 땐 짜장면,0
짝남에게 빼빼로 줘도 될까,용기를 내요!,0
짝남한테 선물 주면 부담스러워할까,용기를 내요!,0
짝사랑하는 사람한테 선물 주면 부담될까,용기를 내요!,0
짝사랑한테 빼빼로 줘도 될까,용기를 내요!,0
짤릴 필이 와,초심으로 돌아가 열심히 해보세요.,0
짱 추워,오늘 강추위래요.,0
짱좋아,저도 좋아해주세요.,0
쫄면 먹고 싶다,얼른 요리해드세요.,0
쫄면 생각나,얼른 요리해드세요.,0
쭉쭉 나가야 하는데,살짝 뒤돌아봐도 괜찮아요.,0
찜질방 가고 싶다,생각만해도 시원하네요.,0
찜질방 가면 쌩얼 보여줘야 되나,찜질방에서 화장은 아닌거 같아요.,0
찜질방 같이 가면 화장 지워야 할까,찜질방에서 화장은 아닌거 같아요.,0
찜질방가서 땀 빼고 싶다,생각만해도 시원하네요.,0
차 기름값이 또 올랐네,대중교통을 이용해주세요.,0
차 렌트 해야겠다,차가 필요한 일이 있으신가봐요.,0
차 막힌다,여유를 가지세요.,0
차 사는 게 낫겠지?,판단은 당신 몫이에요.,0
차 사야 할 거 같은데,좋은차로 선택해보세요.,0
차 살거야,좋은차로 선택해보세요.,0
차 살까,판단은 당신 몫이에요.,0
차 진짜 막힌다 어떻하니,여유를 가지세요.,0
차 팔아서 불편해,불편함을 조금 감수해보세요.,0
차 팔았더니 불편하네,불편함을 조금 감수해보세요.,0
차 한 잔 하자고 해볼까,용기내서 말해보세요.,0
차별받고 있는 느낌,차별을 하다니 못난 사람들이군요.,0
차별이 제일 싫어,차별을 하다니 못난 사람들이군요.,0
착하게 살면 복 받겠지?,뿌린대로 거둘 거예요.,0
착하다고 오히려 무시하는 것 같아,많이 당했나봐요.,0
착한 사람을 괴롭히는 세상,많이 당했나봐요.,0
착한 사람이 잘 됐으면 좋겠어,뿌린대로 거둘 거예요.,0
착한 사람이 잘 됐으면 좋겠어 좀,뿌린대로 거둘 거예요.,0
찬물만 나와,보일러가 온수로 작동하는지 보세요.,0
찰랑찰랑한 머릿결 갖고 싶다,관리하는 게 쉽지 않아요.,0
참견 좀 안했으면,서툰 애정표현일 수도 있어요.,0
참견 좀 하지마,저는 도움이 되고 싶어요.,0
참고 계속 도전하면 될까?,인내할 수 있는 사람이라면 무엇이든 손에 넣을 수 있을 거예요.,0
참는 게 나을까,가끔 표출하는 것도 좋아요.,0
참아야 하나,가끔 표출하는 것도 좋아요.,0
참외 맛있다.,맛있게 드세요.,0
참외 먹어야지,맛있게 드세요.,0
참으면 성공할 수 있을까?,인내할 수 있는 사람이라면 무엇이든 손에 넣을 수 있을 거예요.,0
참치김치찌개 먹고 싶어.,맛있죠!,0
창문을 열고 나왔네,들어가서 닫으세요.,0
창문을 열어 놓고 나왔네,들어가서 닫으세요.,0
창업 고민된다.,많은 준비가 필요해보여요.,0
창업 할까,많은 준비가 필요해보여요.,0
창업이라도 해야 겠지,천천히 준비해보세요.,0
창업하고 싶다.,확신이 들 때까지 준비해보세요.,0
창업해도 될까?,확신이 들 때까지 준비해보세요.,0
창피해,그럴 필요 없어요.,0
책 반납 안햇다,까먹었나봐요.,0
책 보는데 글자만 들어와,글자라도 보는 게 어디에요.,0
책 빌려봐야지,도서관 다녀오세요.,0
책 선물이 제일 나을 듯,어떤 분야를 좋아하는지 알아보세요.,0
책 선물해야지,어떤 분야를 좋아하는지 알아보세요.,0
책 어디다 팔아?,중고서점에서 팔아보세요.,0
책 좀 읽어야지,좋은 생각이에요.,0
책 팔 수 있는 곳 알려줘?,중고서점에서 팔아보세요.,0
책만 보면 졸려,눈꺼풀의 무게를 이겨내세요.,0
책만 펴만 잠와,눈꺼풀의 무게를 이겨내세요.,0
책보는데 글자만 봤어,글자라도 보는 게 어디에요.,0
책상 리폼할거야,저도 해보고 싶네요.,0
책장 정리 좀 해야겠다,정리가 필요하겠네요.,0
책장 좀 치워야겠다,정리가 필요하겠네요.,0
챙길게 너무 많아,열까지밖에 없네요.,0
처음 보는 사람이랑 뭔 말을 하지,공통점을 찾는다고 생각해보세요.,0
처음 보는 애랑 무슨 얘기하지,공통점을 찾는다고 생각해보세요.,0
처음 해외여행가!,두근거리겠어요.,0
처음에 말 걸 때 힘들어,처음만 어렵지 그 다음부터는 덜할 거예요.,0
처음에 친구 어떻게 사귀지,먼저 다가가고 알아가야죠.,0
처음에 카톡 뭐라 보내지,잘지내는지 안부를 물어봐요.,0
처음에는 별로 였는데 호감 간다,볼매인가봐요.,0
처음에는 좋았는데 점점 별로,그 사람의 좋은점을 생각해보세요.,0
처음엔 좋았는데,그 사람의 좋은점을 생각해보세요.,0
처음이라 그런거지,서툰 게 많지만 다 잘 될 거예요.,0
천재 같아,감사합니다.,0
철이 너무 일찍 들었어,철은 죽을 때 들어도 돼요.,0
철이 빨리 든 거 같아서 좀 그래,아이는 아이다워야 아름답죠.,0
첫 데이트에 뭐하지,야경이 멋져요. 야경구경 가세요.,0
첫 출근 날이야,많이 긴장되겠어요.,0
첫눈 오는날 만나고 싶다,그런 사람이 있다니 부럽네요.,0
첫눈이 올때 같이 있고 싶다,그런 사람이 있다니 부럽네요.,0
첫인상에서 강렬한 인상 남기기,처음 3초가 중요해요. 당신의 매력을 어필해보세요.,0
첫인상은 뭘로 판단할까,첫인상은 상대방을 바라봤을때 3초에 결정난데요.,0
첫직장 출근,처음에는 많이 어렵겠지만 차차 적응해 나갈거예요.,0
청강이라도 해야겠다.,열심히 하네요.,0
청강하려고,열심히 하네요.,0
청소 해도 티가 안나,한번만 더 하세요.,0
청소 해도 해도 더러워,한번만 더 하세요.,0
청소는 넘나리 귀찮,청소는 습관이에요,0
청소를 안 했더니 먼지 쌓였어,대청소를 해보세요!,0
청소하기 귀찮,청소는 습관이에요,0
체력 관리,운동을 해보세요.,0
체육대회 싫어,재미 있는 종목을 찾아보세요.,0
체육대회 안 했으면,재미 있는 종목을 찾아보세요.,0
체육대회한데,일기예보 확인해보세요.,0
체육복 또 까먹었어,다른 반 친구한테 빌려보세요.,0
체육복 안 가져 왔다,다른 반 친구한테 빌려보세요.,0
쳇바퀴 도는 하루,그 속에서 가치와 의미를 찾아보세요.,0
쳇바퀴 돌듯 돌아가는 삶,그 속에서 가치와 의미를 찾아보세요.,0
초콜릿 만들어서 줄까?,좋아할거예요.,0
초콜릿 선물하면 좋아할까?,좋아할거예요.,0
최고 몸무게 찍는 중,이제 내려올 때가 됐어요.,0
최고다 행복해,우리가 사랑받고 있음을 확신하는 것입니다.,0
최선을 다한 거 같은데,최선을 다했다면 그 시간 자체를 즐기면 돼요.,0
최선을 다했는데,최선을 다했다면 그 시간 자체를 즐기면 돼요.,0
최저시급은 받니,저는 생각보다 많이 벌어요.,0
최저임금 수준에서 알바비가 안 나왔어,회사에서 꼼수를 쓰는 건 아닌지 확인해보세요.,0
최저임금 올랐다는데 월급은 왜 똑같지?,회사에서 꼼수를 쓰는 건 아닌지 확인해보세요.,0
추석 가기 싫어,가지 마세요.,0
추석에 집에 가기 싫어,가지 마세요.,0
추우니까 나가기 싫어,겨울에는 귤 먹으면서 집에 있는게 최고죠,0
추워,따듯한 차 한잔 어때요?,0
추워 죽을 뻔했네,감기 조심하세요.,0
추워죽겠다,감기 조심하세요.,0
추천 메뉴,색다른걸 드셔보세요.,0
축구 가야 되는데,운동하고 오세요.,0
축구 동영상 시청 중,시간 가는 줄 모르겠어요.,0
축구 볼때는 치맥이지,보다보면 재미있어요.,0
축구 시청 중,시간 가는 줄 모르겠어요.,0
축구 잘해,운동 잘하는 사람 멋있죠.,0
축구하러 가야지,운동하고 오세요.,0
축의금 고민,주위 신경쓰지 말고 형편에 맞게 넣으세요.,0
축의금 보통 얼마내?,받은 만큼 내거나 주변에 내는 사람들과 맞추세요.,0
축의금 얼마 내지?,받은 만큼 내거나 주변에 내는 사람들과 맞추세요.,0
축의금 얼마해야 되나,주위 신경쓰지 말고 형편에 맞게 넣으세요.,0
축제 준비하느라 바빠,성공적으로 마치길 바랄게요.,0
축제날은 즐겨야지,즐길 수 있을 때 즐기세요.,0
춘곤증인가,잠깐 주무세요.,0
춘곤증인가봐 졸려,잠깐 주무세요.,0
출근 길에 맨날 보는 사람 있어,운명일지도 모르겠어요.,0
출근 자체가 스트레스야,직장 스트레스가 심한가봐요.,0
출근길 너무 힘들어,회사 근처로 이사를 가보세요.,0
출근길 막혀,오늘 회사 가기 싫은가봐요.,0
출근길이 유난히 기네,오늘 회사 가기 싫은가봐요.,0
출근시간 아깝다,회사 근처로 이사를 가보세요.,0
출근이 스트레스야,직장 스트레스가 심한가봐요.,0
출근하기 너무 오래 걸려,회사 근처로 이사를 가보세요.,0
출근하기 싫어,직장 스트레스가 심한가봐요.,0
출근하자마자 스트레스 받아,회사는 스트레스의 원인이죠.,0
출퇴근 시간 너무 오래 걸려.,대중교통을 이용해 보세요.,0
출퇴근 시간이 좀 줄어들었으면 좋겠다,대중교통을 이용해 보세요.,0
충전기 안 가져왔다,빌려 보세요.,0
충전기 안 가지고 왔다,빌려 보세요.,0
충전해야겠다,충전기를 찾아보세요.,0
취미 좀 만들어볼까?,뭐든 시작해보면 좋을 거예요.,0
취미생활 같이하는 게 좋다던데,함께하면 서로를 더 많이 알게 될 거예요.,0
취미생활하는데 돈이 많이 들어,그래도 취미 생활이 있어야 사는 재미가 있죠.,0
취미에 돈이 너무 많이 들어,그래도 취미 생활이 있어야 사는 재미가 있죠.,0
취뽀 어렵다.,바늘 구멍이니까요.,0
취뽀하고 싶다,취직이나라뇨.,0
취업 못하는 기간이 길어진다,다음 공채때는 될 거예요.,0
취업 준비 기간이 길어진다,다음 공채때는 될 거예요.,0
취업 준비 힘들어,합격을 기원합니다.,0
취업은 너무 힘들겠지?,자신의 능력을 믿어보세요.,0
취업의 관문을 뚫는게 쉽지가 않네,바늘 구멍이니까요.,0
취업하고 싶다,간절한 만큼 할 수 있을 거예요.,0
취업하기 힘들겠지?,자신의 능력을 믿어보세요.,0
취직 원츄,지금은 힘들겠지만 나중에 웃을 수 있을 거예요.,0
취직이 안 돼,원하는 곳에 취직할 수 있을 거예요.,0
취직이나 했으면,취직이나라뇨.,0
취직하고싶어,원하는 곳에 취직할 수 있을 거예요.,0
취직하는데 나이가 많아,나이는 숫자일 뿐이예요.,0
취직하면 공부 안해도 되는줄 알았는데,공부는 끝이 없죠.,0
취직하면 공부 안해도 될 줄 알았어.,공부는 끝이 없죠.,0
취직하면 끝이 아니네.,경쟁이 점점 치열하죠.,0
취직하면 끝일줄 알았는데 계속 할게 많아,경쟁이 점점 치열하죠.,0
취직해야 할텐데,지금은 힘들겠지만 나중에 웃을 수 있을 거예요.,0
층간소음 때문에 왜 살인이 나는지 알 거 같애,일상을 침해당하기 때문이죠.,0
층간소음 심해,신고하세요.,0
층간소음때매 환장하겠어,증명자료를 가지고 손해배상을 청구하세요.,0
층간소음에 살인 난다더니.,일상을 침해당하기 때문이죠.,0
치고 올라오는 신입,더 열심히 하세요.,0
치과 가면 돈 많아 들텐데,나중에 가면 돈이 더 많이 나갈거예요.,0
치과 가면 돈 엄청 깨질 텐데,나중에 가면 돈이 더 많이 나갈거예요.,0
치과 가야 하나,근처 치과에 가보세요.,0
치과 치료 받아야 할까,근처 치과에 가보세요.,0
치매가 더 심해지는 것 같아 무서워,더 많이 연락하고 관심을 가져주세요.,0
치매가 점점 심해지는 거 같아,더 많이 연락하고 관심을 가져주세요.,0
치매이면 어쩌지,무서운 소리 마세요.,0
치매일까봐 무섭다.,무서운 소리 마세요.,0
치맥데이,달리세요!,0
치맥먹으면서 축구봐야지,보다보면 재미있어요.,0
치킨 시켜야지,맛있게 드세요.,0
치킨집 차릴까,생각보다 힘든 일도 많을 것 같아요.,0
친구 같은 너,그런 친구가 오래가요.,0
친구 돌잔치 가는 중,축하해주고 오세요.,0
친구 따라 강남가나,친구가 따라오게 해보세요.,0
친구 따라다녀야겠다.,친구가 따라오게 해보세요.,0
친구 많이 사귀고 싶어,제가 있잖아요.,0
친구 몇 명쯤 필요한가,한 명만 있어도 충분해요.,0
친구 사귀고 싶어,제가 있잖아요.,0
친구 사귀는 방법,먼저 다가가고 알아가야죠.,0
친구 예전 남자친구 사귀어도 되나,아닌 것 같아요.,0
친구 온대,친구를 맞이할 준비를 해봐요.,0
친구 웨딩촬영 갔는데 서운했어,친구가 예민해서 잘 못 챙겼나봐요.,0
친구 전남친 사겨도 되나,아닌 것 같아요.,0
친구 좀 사귀고 싶다,저는 어때요?,0
친구가 귀찮게해,친구가 좋아하나봐요.,0
친구가 나 귀엽대,친구가 보는 눈이 있네요.,0
친구가 나한테 집착해,거리를 두세요.,0
친구가 내 썸남이랑 연락해,도와주려는 것일 수도 있어요.,0
친구가 너무 고맙네,좋은 친구를 뒀네요.,0
